"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile","Problematic","Other_Form","Variant_ID"
"1","aher1237-1-1-1",NA,"aher1237-1",1,"un̪d̪i","un̪d̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"2","aher1237-1-2-1",NA,"aher1237-1",2,"rɛɳɖu","rɛɳɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"3","aher1237-1-3-1",NA,"aher1237-1",3,"muːɖu","muːɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"4","aher1237-1-4-1",NA,"aher1237-1",4,"naːluŋ","naːluŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"5","aher1237-1-5-1",NA,"aher1237-1",5,"hɛjːuŋ","hɛjːuŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"6","aher1237-1-6-1",NA,"aher1237-1",6,"haːruŋ","haːruŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"7","aher1237-1-7-1",NA,"aher1237-1",7,"hɛːɖuŋ","hɛːɖuŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"8","aher1237-1-8-1",NA,"aher1237-1",8,"ɛnmid̪i","ɛnmid̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"9","aher1237-1-9-1",NA,"aher1237-1",9,"t̪ommid̪i","t̪ommid̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"10","aher1237-1-10-1",NA,"aher1237-1",10,"pəd̪i","pəd̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"11","aher1237-1-11-1",NA,"aher1237-1",11,"pəd̪əkoɳɖu","pəd̪əkoɳɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"12","aher1237-1-12-1",NA,"aher1237-1",12,"pənːɛɳɖu","pənːɛɳɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"13","aher1237-1-13-1",NA,"aher1237-1",13,"pəd̪əmuːɖu","pəd̪əmuːɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"14","aher1237-1-14-1",NA,"aher1237-1",14,"pəd̪naːluŋ","pəd̪naːluŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"15","aher1237-1-15-1",NA,"aher1237-1",15,"pəd̪hɛːni","pəd̪hɛːni",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"16","aher1237-1-16-1",NA,"aher1237-1",16,"pəd̪haːruŋ","pəd̪haːruŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"17","aher1237-1-17-1",NA,"aher1237-1",17,"pəd̪hɛɖuːŋ","pəd̪hɛɖuːŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"18","aher1237-1-18-1",NA,"aher1237-1",18,"pəd̪ɛɳmid̪i","pəd̪ɛɳmid̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"19","aher1237-1-19-1",NA,"aher1237-1",19,"pən̪d̪omid̪i","pən̪d̪omid̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"20","aher1237-1-20-1",NA,"aher1237-1",20,"iruvəj","iruvəj",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"21","aher1237-1-21-1",NA,"aher1237-1",21,"iruvəjun̪d̪i","iruvəjun̪d̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"22","aher1237-1-22-1",NA,"aher1237-1",22,"iruvəjrɛɳɖu","iruvəjrɛɳɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"23","aher1237-1-23-1",NA,"aher1237-1",23,"iruvəjmuːɖu","iruvəjmuːɖu",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"24","aher1237-1-24-1",NA,"aher1237-1",24,"iruvəjnaːluŋ","iruvəjnaːluŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"25","aher1237-1-25-1",NA,"aher1237-1",25,"iruvəjhɛjuŋ","iruvəjhɛjuŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"26","aher1237-1-26-1",NA,"aher1237-1",26,"iruvəjhaːruŋ","iruvəjhaːruŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"27","aher1237-1-27-1",NA,"aher1237-1",27,"iruvəjhɛːɖuŋ","iruvəjhɛːɖuŋ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"28","aher1237-1-28-1",NA,"aher1237-1",28,"iruvəjɛnmid̪i","iruvəjɛnmid̪i",NA,"","chan2019",NA,"false",NA,NA,"false","",1
