"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile","Problematic","Other_Form","Variant_ID"
"1","aheu1239-1-1-1",NA,"aheu1239-1",1,"mɔːc11","mɔːc11",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"2","aheu1239-1-2-1",NA,"aheu1239-1",2,"ha:l55","ha:l55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"3","aheu1239-1-3-1",NA,"aheu1239-1",3,"paː55","paː55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"4","aheu1239-1-4-1",NA,"aheu1239-1",4,"poːn53ʔ","poːn53ʔ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"5","aheu1239-1-5-1",NA,"aheu1239-1",5,"ɗam55","ɗam55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"6","aheu1239-1-6-1",NA,"aheu1239-1",6,"pʰaluʔ55","pʰaluʔ55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"7","aheu1239-1-7-1",NA,"aheu1239-1",7,"pih55","pih55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"8","aheu1239-1-8-1",NA,"aheu1239-1",8,"saːm53ʔ","saːm53ʔ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"9","aheu1239-1-9-1",NA,"aheu1239-1",9,"ciːn53ʔ","ciːn53ʔ",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"10","aheu1239-1-10-1",NA,"aheu1239-1",10,"sip55","sip55",NA,"< Lao","chan2019",NA,"true",NA,NA,"false","",1
"11","aheu1239-1-11-1",NA,"aheu1239-1",11,"sip55ʔet55","sip55ʔet55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"12","aheu1239-1-12-1",NA,"aheu1239-1",12,"sip55sɔːŋ55","sip55sɔːŋ55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"13","aheu1239-1-13-1",NA,"aheu1239-1",13,"sip55saːm35","sip55saːm35",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"14","aheu1239-1-14-1",NA,"aheu1239-1",14,"sip55si55","sip55si55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"15","aheu1239-1-15-1",NA,"aheu1239-1",15,"sip55ha53","sip55ha53",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"16","aheu1239-1-16-1",NA,"aheu1239-1",16,"sip55hok55","sip55hok55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"17","aheu1239-1-17-1",NA,"aheu1239-1",17,"sip55cet55","sip55cet55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"18","aheu1239-1-18-1",NA,"aheu1239-1",18,"sip55pɛːt55","sip55pɛːt55",NA,"","chan2019",NA,"true",NA,NA,"false","",1
"19","aheu1239-1-19-1",NA,"aheu1239-1",19,"sip55kaw35","sip55kaw35",NA,"","chan2019",NA,"true",NA,NA,"false","",1
