"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile","Problematic","Other_Form","Variant_ID"
"1","acha1249-1-1-1",NA,"acha1249-1",1,"tɑ31","tɑ31",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"2","acha1249-1-2-1",NA,"acha1249-1",2,"sɿ55","sɿ55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"3","acha1249-1-3-1",NA,"acha1249-1",3,"suŋ31","suŋ31",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"4","acha1249-1-4-1",NA,"acha1249-1",4,"mɛ31","mɛ31",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"5","acha1249-1-5-1",NA,"acha1249-1",5,"ŋɑ21","ŋɑ21",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"6","acha1249-1-6-1",NA,"acha1249-1",6,"tɑ31pjɑ31 suŋ31 luŋ35","tɑ31pjɑ31 suŋ31 luŋ35",NA,"( 2 x 3 )","chan2019",NA,"false",NA,NA,"false","",1
"7","acha1249-1-7-1",NA,"acha1249-1",7,"pʰɑ31kɯ55 ȵɑ31 tɕi31","pʰɑ31kɯ55 ȵɑ31 tɕi31",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"8","acha1249-1-8-1",NA,"acha1249-1",8,"tɑ31pjɑ31 mɛ31 luŋ35","tɑ31pjɑ31 mɛ31 luŋ35",NA,"( 2 x 4 )","chan2019",NA,"false",NA,NA,"false","",1
"9","acha1249-1-9-1",NA,"acha1249-1",9,"lɑ31 ŋoi31","lɑ31 ŋoi31",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"10","acha1249-1-10-1",NA,"acha1249-1",10,"tɑ31 tʂʰɿ55","tɑ31 tʂʰɿ55",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"11","acha1249-1-11-1",NA,"acha1249-1",11,"tɑ31 tʂʰɿ55 tɑ31 luŋ35","tɑ31 tʂʰɿ55 tɑ31 luŋ35",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"12","acha1249-1-12-1",NA,"acha1249-1",12,"tɑ31 tʂʰɿ55 sɿ55 luŋ35","tɑ31 tʂʰɿ55 sɿ55 luŋ35",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"13","acha1249-1-13-1",NA,"acha1249-1",13,"tɑ31 tʂʰɿ55 suŋ31luŋ35","tɑ31 tʂʰɿ55 suŋ31luŋ35",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"14","acha1249-1-14-1",NA,"acha1249-1",14,"tɑ31 tʂʰɿ55 mɛ31 luŋ35","tɑ31 tʂʰɿ55 mɛ31 luŋ35",NA,"","chan2019",NA,"false",NA,NA,"false","",1
"15","acha1249-1-15-1",NA,"acha1249-1",15,"tɑ31 tʂʰɿ55 ŋɑ21 luŋ35","tɑ31 tʂʰɿ55 ŋɑ21 luŋ35",NA,"","chan2019",NA,"false",NA,NA,"false","",1
